cod_usuario,cod_produto,data_venda,quantidade,valor_compra
28,8,17/03/2021,10,2195.7
28,14,26/05/2021,1,138.99
28,12,19/10/2020,20,1550
28,17,28/06/2021,6,3504.6
28,11,18/04/2021,3,149.7
28,15,22/04/2021,6,29.94
28,8,05/05/2021,1,219.57
28,20,29/03/2021,14,1818.6
28,7,21/10/2020,15,19507.35
69,5,06/09/2019,15,6555
69,15,15/07/2019,13,64.87
69,1,03/09/2019,12,55090.8
69,21,10/12/2019,7,41993.7
69,14,06/03/2021,6,833.94
89,21,16/09/2020,6,35994.6
89,11,06/02/2021,16,798.4
89,17,03/08/2020,15,8761.5
89,11,18/07/2020,10,499
89,15,12/04/2021,13,64.87
89,1,07/10/2020,10,45909
124,15,05/02/2021,17,84.83
124,5,07/04/2021,10,4370
153,4,11/07/2019,9,530.1
153,21,27/10/2020,4,23996.4
153,3,10/11/2020,18,36891
153,14,12/01/2021,16,2223.84
156,7,19/09/2020,3,3901.47
156,6,20/10/2020,10,8999
156,16,20/04/2021,2,10
176,16,08/01/2020,4,20
176,10,21/11/2019,7,4899.3
176,20,30/09/2020,7,909.3
176,8,16/12/2019,8,1756.56
176,11,14/09/2020,17,848.3
185,18,27/10/2020,20,158
185,20,13/11/2020,9,1169.1
191,15,09/03/2021,1,4.99
191,18,26/04/2020,7,55.3
191,19,09/02/2021,7,17499.3
191,4,21/07/2021,14,824.6
191,13,10/05/2020,20,198
191,7,04/06/2020,3,3901.47
191,8,23/03/2020,17,3732.69
441,14,23/06/2021,7,972.93
441,12,16/12/2019,15,1162.5
441,13,09/06/2020,12,118.8
441,17,11/08/2019,14,8177.4
441,11,10/12/2019,1,49.9
441,14,29/08/2019,20,2779.8
441,11,31/01/2020,12,598.8
441,12,04/02/2021,14,1085
464,15,05/06/2021,12,59.88
464,19,15/10/2020,16,39998.4
464,3,29/06/2021,7,14346.5
464,14,05/03/2021,5,694.95
464,12,19/07/2021,20,1550
464,7,03/07/2021,13,16906.37
466,14,30/12/2020,2,277.98
466,8,19/03/2021,3,658.71
466,10,28/12/2019,18,12598.2
466,18,26/06/2021,10,79
479,13,05/07/2021,9,89.1
479,5,15/04/2021,7,3059
479,15,16/07/2021,15,74.85
479,20,30/07/2021,20,2598
679,16,16/04/2021,20,100
679,3,17/04/2021,19,38940.5
679,21,05/07/2021,16,95985.6
679,8,04/05/2021,15,3293.55
679,17,01/06/2021,19,11097.9
679,8,28/05/2021,13,2854.41
700,1,19/10/2019,16,73454.4
700,5,05/08/2020,5,2185
700,10,27/05/2021,3,2099.7
700,7,17/03/2021,7,9103.43
700,12,06/08/2020,13,1007.5
700,17,28/02/2020,11,6425.1
700,5,15/11/2020,5,2185
700,1,03/09/2019,10,45909
700,15,20/06/2021,4,19.96
796,21,13/11/2019,1,5999.1
796,3,23/02/2021,7,14346.5
796,12,15/10/2020,8,620
796,11,26/04/2020,1,49.9
796,9,09/04/2021,17,6614.7
796,18,04/09/2020,15,118.5
796,4,16/07/2021,7,412.3
813,1,25/01/2021,14,64272.6
813,1,27/05/2021,7,32136.3
813,14,27/01/2021,18,2501.82
813,4,20/02/2021,20,1178
813,13,05/03/2021,18,178.2
898,11,10/07/2019,9,449.1
898,11,30/01/2021,11,548.9
898,9,10/07/2019,16,6225.6
898,17,29/05/2020,2,1168.2
898,10,05/10/2020,10,6999
999,7,31/05/2021,19,24709.31
999,5,24/12/2020,2,874
999,17,10/03/2021,1,584.1
999,9,15/02/2021,3,1167.3
999,14,19/02/2021,2,277.98
999,20,24/02/2021,5,649.5
1074,9,08/08/2020,11,4280.1
1074,17,09/02/2021,7,4088.7
1074,1,04/11/2020,1,4590.9
1074,5,28/12/2019,6,2622
1074,14,22/10/2019,2,277.98
1074,17,09/06/2021,9,5256.9
1074,13,31/05/2019,7,69.3
1074,21,16/12/2020,14,83987.4
1074,21,05/09/2019,9,53991.9
1192,21,03/11/2020,1,5999.1
1192,16,03/06/2021,20,100
1192,9,04/02/2021,10,3891
1192,4,09/04/2020,18,1060.2
1192,12,24/11/2019,13,1007.5
1192,5,22/02/2021,4,1748
1192,8,03/11/2019,10,2195.7
1415,18,05/06/2019,10,79
1415,18,12/05/2020,3,23.7
1415,8,07/06/2019,4,878.28
1415,13,21/12/2019,14,138.6
1415,13,20/10/2019,12,118.8
1415,15,18/10/2019,5,24.95
1415,17,19/07/2021,3,1752.3
1676,10,19/07/2018,9,6299.1
1676,12,05/06/2019,10,775
1676,5,11/07/2021,7,3059
1676,10,12/10/2018,12,8398.8
1676,13,30/01/2020,6,59.4
1691,13,19/07/2021,10,99
1691,15,31/07/2021,15,74.85
1691,15,23/07/2021,3,14.97
1691,13,31/07/2021,8,79.2
1691,21,31/07/2021,4,23996.4
1691,19,18/07/2021,11,27498.9
1696,15,26/06/2020,12,59.88
1696,6,18/08/2020,1,899.9
1696,16,01/02/2020,5,25
1696,20,06/10/2020,4,519.6
1696,15,23/11/2020,1,4.99
1696,18,12/06/2020,1,7.9
1752,16,03/12/2020,20,100
1752,8,13/05/2020,4,878.28
1752,11,23/05/2021,4,199.6
1752,5,12/05/2020,18,7866
1752,14,06/11/2020,13,1806.87
1752,13,13/12/2020,5,49.5
1752,21,09/12/2019,9,53991.9
1752,1,25/07/2020,7,32136.3
